battery_percent,time_since_unplugged_min,cpu_usage,gpu_usage,screen_brightness,num_apps_running,heavy_app_running,wifi_on,bluetooth_on,power_mode,fan_speed_rpm,device_temperature,remaining_minutes
40.581311290499436,216.3601092602713,5.396144810340765,61.69752135097527,12.399195243972468,23,0,1,1,balanced,1334.0447539700958,71.14520734361108,9.868750314158534
95.31785910894203,206.4976183195252,5.02971433335288,42.08138660271757,10.716451116903228,3,0,1,1,balanced,2391.4118067020927,65.0450250166071,28.19747493931567
74.53942447208348,29.63050540034394,47.503711471569375,5.013620612408172,30.19379223522176,5,1,1,0,battery_saver,1371.2001136994506,93.95412714964475,10.020789207477069
61.872555998718475,276.84914906683423,7.636433450483358,82.66591356196949,81.93888532083966,15,0,1,0,balanced,1342.8960626220482,63.01617963983598,11.843629124363073
19.82177084203147,170.97318844488905,92.7079298296137,88.22962195887429,91.42728923569484,9,1,1,0,battery_saver,2446.194892874766,48.34914791252185,5.0
19.81947943193925,109.75393081956959,24.985865708725278,38.793907369065145,45.25915293087383,8,0,1,1,performance,1961.7280199503066,88.11829998417107,5.0
10.517943155978948,227.2050364650967,47.53982564283602,55.22947266683944,60.68787369460107,8,0,1,1,battery_saver,2357.7604122506855,55.199960776727394,5.0
87.28673384861884,77.95227206208858,10.502386701100125,40.526876361937205,73.54473417598427,36,0,1,0,balanced,2531.559063426119,45.93189957703754,20.900653289898468
62.10592611560484,208.3594412768498,51.98435745541327,28.969168579750853,95.76430293265538,34,0,1,0,balanced,1482.7469924917384,76.23604867900129,10.136004242274733
72.26689489062431,12.873651064101919,39.19605126326677,6.958691357202687,92.16390135676885,18,0,1,1,battery_saver,3199.61224150602,54.09910931221759,20.638640820270663
6.955526958101233,251.9830032451723,9.019402598950137,41.0460957357569,15.147307304324194,10,0,0,0,battery_saver,2348.0329528454467,40.87941050472323,5.0
97.14143595538945,135.00308325937422,35.16118400266023,73.65461007235064,32.33492588883527,23,0,1,0,performance,3710.4586192045476,76.49993050923928,12.67810401134462
84.08205087604007,191.37118139302459,40.229241820057005,1.5328314979203217,14.423008955965937,13,0,1,0,performance,4471.071943357344,43.98187366115522,16.00729637707432
25.172215514436235,67.15010812219842,94.0929342147446,52.38969148622001,65.48881788901463,25,0,0,0,battery_saver,2459.0579117116395,40.12409615935194,5.0
22.27337188467456,203.44504008487593,23.70972847274379,79.269489785402,73.94439848253751,8,0,1,1,battery_saver,3648.418246034858,77.52282068340446,5.0
22.42342843607621,231.8998424920897,54.03016538330897,19.579448701292222,37.74550711208603,17,0,1,0,battery_saver,2174.2877684963887,64.9241672269112,6.308046664717082
33.90301308115608,142.4907428784352,93.85839942787658,16.4930278220156,86.8466717319893,13,0,1,1,balanced,3877.1458300116155,84.2438523345462,5.0
54.851861005062595,185.7003502944765,76.28172871461216,69.50489631317488,50.75314753703479,29,0,1,0,balanced,3453.9057633654247,49.03708190098169,9.053795346455445
46.034776771001,137.44145122289717,94.403075079388,22.957778800736396,99.85433635873113,17,0,1,0,balanced,2022.4097130677756,68.08880581037128,6.848896883667763
32.66676831881398,268.3333194080958,92.14684831941523,17.278584080458362,10.035972333039243,6,1,1,1,battery_saver,2720.109018293323,46.38205227092506,5.0
63.12602499862605,149.86288497378143,49.05855878847389,34.019032551231156,19.8540737576701,16,0,1,1,battery_saver,3860.3088381107923,62.53427761324035,18.948970673057406
18.251916761943974,252.70080399961685,67.67382648835093,35.32518110431962,37.16139186418063,12,0,1,0,balanced,3541.2079502202987,59.60045341172628,5.0
32.75374161084572,240.60426542280433,14.9398814247036,78.66909567149094,12.295683815834185,31,1,1,1,battery_saver,1304.3711330837582,75.10119093112635,5.0
39.804375112900715,123.7409415831586,44.70339425421217,55.65991247403092,80.41055119644257,14,1,1,0,battery_saver,1205.0998955188184,74.2882689239197,5.0
48.32664850061841,69.79526306538503,77.81166880400276,36.53653107056304,14.74946090841585,22,0,1,0,balanced,3687.7268971118406,54.20177207974937,9.868090832533781
79.59171633233629,122.41855763537153,50.480178887942905,48.094916785719015,77.40816699644445,39,0,0,1,balanced,2697.049772232812,42.787473556698785,14.780193538230657
23.969009305044175,248.03899535679082,68.24291295355087,85.85687099927468,14.731161291059447,4,0,1,0,balanced,2887.9024677811394,45.76284371215846,5.0
53.8522716492931,69.06212820999832,72.11761969858493,10.189320894890583,32.74545381877411,22,1,0,1,battery_saver,4383.342731287522,90.21105723047916,6.724421552995424
61.27938404189403,157.80646741146705,27.81222271186045,18.694396955222228,85.71491340926767,14,0,0,0,performance,1636.3116714037155,79.9615412305186,8.333936053170866
9.412789208399783,242.0229276402635,83.81294356483089,86.62758359278997,95.59857648139518,32,0,1,0,performance,1306.3099270910802,91.83276231289398,5.0
62.716760930636646,106.68976506338525,46.38401878182611,86.15923636744837,47.3073708394461,20,1,1,1,balanced,1823.6051116465885,73.97496254549677,6.750165716408834
21.199791750292697,193.0206814638065,23.916659325938937,15.944887913829538,97.29450678812962,12,0,1,0,battery_saver,3551.381312764307,88.36094353579435,5.0
11.179901333601554,74.44384064059554,82.88742936095994,13.05979354127684,66.41928313826884,9,0,1,1,battery_saver,1801.1504346376453,82.50592182171465,5.0
95.14412603906666,33.67455416507982,42.60369254956283,37.897662090475784,47.42516101896383,7,1,0,0,battery_saver,2944.5392702080585,53.46143643644671,14.560448024829522
96.73504314208314,238.52088330276405,72.52811945417477,4.47464632391722,82.25212095711252,31,1,1,0,battery_saver,4023.6329647812922,81.23762173742888,11.79931805084876
81.79774807106381,30.59161839920334,54.322976499943366,58.94131790566261,36.579566812618104,37,0,1,0,performance,3973.251227013907,73.51608447670876,10.539047583565178
33.93830807147022,82.1430371287958,39.36845770110504,6.974641949556797,33.92166352241966,14,0,0,1,performance,1893.9132053935803,49.33952166301155,6.025411792710608
14.278850830606467,256.6777171772346,77.88887735347124,5.222666438485265,69.08929092199668,12,0,0,1,balanced,4160.730884811714,45.17622442016655,5.0
70.0021375186549,104.59431683652149,57.60229384801517,43.66682425879643,45.143862577128544,39,0,1,1,performance,4479.643520614525,60.16644384032338,10.001914293389694
46.81448690526212,291.94055950473415,40.150589218432856,86.20079724990913,22.232622425048163,4,0,1,0,balanced,4414.2608146693265,72.21335720134297,8.253702343457547
16.593632310253987,293.9405660973841,14.863808330161433,38.41163424568436,16.02678117609179,5,0,0,0,balanced,4140.930628803524,70.61800574559007,5.0
52.04180646057067,81.21453011561346,85.59007823900372,32.0833042794496,80.90583186236296,16,1,1,1,battery_saver,1408.2846078641908,66.46557272432372,6.256315062862014
8.266909505945748,13.252488452717245,8.192262680749991,89.81610439520573,70.831965862211,22,1,1,0,battery_saver,3269.695943195229,66.33392315261935,5.0
